,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Ced_prime,Cedstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCed,delta_UCedstar,leak,leakstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,region_scenario,conv
180,Unilateral,US as Home,3,1.034917212,1.072139022,5.34E-06,2.107056234,0.021995497,0.740153431,0.012463055,0,29.42453825,29.42453825,0.509763336,3.494579043,1.639253853,0.262556539,0.575494853,0.143602266,0.118954273,22.94289151,8.084,2.017186972,1.542857557,3.560044529,31.11066667,161.8533333,22.70758784,141.4206955,4.6666,24.16967919,-1.570466667,0.509353696,0.118894936,-1.217906387,-0.283695202,0.500638248,-5.128313633,-1.194572905,-4.210761752,0.134495049,-3.477978757,-1.100662425,-0.800517932,-0.124126902,0,0,25.97574963,-14.62860447,0,29.42453825,0,0,1,1
186,Unilateral,US as Home,3.1,1.033710389,1.106722136,5.38E-06,2.140432525,0.022164596,0.740153431,0.012338995,0,29.40737719,29.40737719,0.501814469,3.498658848,1.613692557,0.260985002,0.566521017,0.139955878,0.121029124,22.96570508,8.084,1.997107406,1.590306358,3.587413764,31.11066667,161.8533333,22.73818443,141.3974316,4.6666,24.16456311,-1.570466667,0.491603774,0.114353362,-1.209689517,-0.276554499,0.483477186,-5.114473907,-1.169251074,-4.227922814,0.1383727,-3.551319529,-1.077418121,-0.8173986,-0.119907104,0,0,27.33198966,-14.79684308,0,29.40737719,0,0,1,1
192,Unilateral,US as Home,3.2,1.032538787,1.141269416,5.42E-06,2.173808202,0.022336928,0.740153431,0.012218154,0,29.39070737,29.39070737,0.494109831,3.502628711,1.588916634,0.259518424,0.557822904,0.136457458,0.123060966,22.98771181,8.084,1.977548942,1.637757319,3.615306262,31.11066667,161.8533333,22.76947857,141.373723,4.6666,24.15940162,-1.570466667,0.474381775,0.109976954,-1.201803266,-0.269693974,0.466807368,-5.101165287,-1.144741055,-4.244592632,0.142216714,-3.623524173,-1.054836341,-0.834017768,-0.115805742,0,0,28.69368183,-14.96560895,0,29.39070737,0,0,1,1
198,Unilateral,US as Home,3.3,1.031400757,1.175782718,5.47E-06,2.207183474,0.022512443,0.740153431,0.012100399,0,29.37450617,29.37450617,0.4866383,3.506493453,1.564890314,0.258151656,0.549387955,0.133098805,0.125052851,23.00894463,8.084,1.958489862,1.685224112,3.643713974,31.11066667,161.8533333,22.80146569,141.3495765,4.6666,24.15419599,-1.570466667,0.457662629,0.105756389,-1.194229905,-0.26309892,0.450606169,-5.088367411,-1.121010256,-4.260793831,0.146027532,-3.694627695,-1.032886594,-0.850383493,-0.111817446,0,0,30.06064256,-15.13485194,0,29.37450617,0,0,1,1
204,Unilateral,US as Home,3.4,1.030294604,1.210263588,5.50E-06,2.240558192,0.022691096,0.740153431,0.011985602,0,29.35875022,29.35875022,0.479389474,3.51025812,1.541580154,0.256879937,0.541204428,0.129872302,0.127007634,23.02943787,8.084,1.939909651,1.732719825,3.672629476,31.11066667,161.8533333,22.83414182,141.3249983,4.6666,24.14894731,-1.570466667,0.441420645,0.101682487,-1.186951622,-0.256754656,0.434850219,-5.076057698,-1.098024069,-4.276549781,0.149805595,-3.764662958,-1.011536727,-0.866503339,-0.107936649,0,0,31.43274173,-15.3045057,0,29.35875022,0,0,1,1
210,Unilateral,US as Home,3.5,1.029218807,1.244713605,5.58E-06,2.273932412,0.022872843,0.740153431,0.011873644,0,29.34341853,29.34341853,0.472353529,3.513927239,1.518954557,0.255698806,0.533261232,0.126770848,0.128927958,23.04922234,8.084,1.921788935,1.780256954,3.702045889,31.11066667,161.8533333,22.86750354,141.2999943,4.6666,24.14365654,-1.570466667,0.425632736,0.097746998,-1.179952536,-0.250648025,0.41951853,-5.064216427,-1.075751614,-4.29188147,0.153551338,-3.833661706,-0.990758126,-0.882384614,-0.104158349,0,0,32.80983503,-15.47452128,0,29.34341853,0,0,1,1
216,Unilateral,US as Home,3.6,1.028171894,1.279134188,5.63E-06,2.307306082,0.023057645,0.740153431,0.011764413,0,29.32849079,29.32849079,0.465521245,3.517505217,1.496983875,0.254604114,0.525547958,0.123787832,0.130816282,23.068328,8.084,1.904109448,1.827847317,3.731956765,31.11066667,161.8533333,22.90154785,141.2745701,4.6666,24.13832453,-1.570466667,0.410276639,0.09394212,-1.173217525,-0.244766512,0.404590788,-5.052824043,-1.054162671,-4.306809212,0.15726518,-3.901653942,-0.970522907,-0.898034222,-0.100477701,0,0,34.1917986,-15.64484851,0,29.32849079,0,0,1,1
222,Unilateral,US as Home,3.7,1.02715255,1.313526708,5.70E-06,2.340679258,0.023245466,0.740153431,0.011657801,0,29.31394885,29.31394885,0.458883889,3.520995981,1.475640026,0.253591963,0.518054747,0.120917073,0.132674891,23.08678159,8.084,1.886853895,1.875502247,3.762356143,31.11066667,161.8533333,22.93627221,141.2487306,4.6666,24.13295202,-1.570466667,0.395332436,0.090260854,-1.166733155,-0.239098937,0.390048848,-5.041863665,-1.033230467,-4.321351152,0.160947537,-3.968668756,-0.95080643,-0.913458859,-0.096890375,0,0,35.57849264,-15.81545347,0,29.31394885,0,0,1,1
228,Unilateral,US as Home,3.8,1.026159399,1.347892348,5.74E-06,2.374051747,0.023436271,0.740153431,0.011553706,0,29.29977364,29.29977364,0.452433272,3.524403716,1.454896678,0.252658742,0.510772354,0.118152809,0.134505933,23.10461146,8.084,1.870005887,1.923232643,3.79323853,31.11066667,161.8533333,22.97167459,141.2224806,4.6666,24.12753963,-1.570466667,0.380779371,0.086696194,-1.160485662,-0.233633933,0.375873636,-5.031316181,-1.012926077,-4.335526364,0.164598822,-4.034733463,-0.931582209,-0.928664812,-0.093391804,0,0,36.9698282,-15.98628605,0,29.29977364,0,0,1,1
234,Unilateral,US as Home,3.9,1.025191452,1.382232609,5.80E-06,2.407424061,0.023630028,0.740153431,0.011452034,0,29.28595155,29.28595155,0.446161529,3.527731326,1.434728537,0.251800991,0.5036919,0.115489618,0.136311372,23.12183752,8.084,1.853549904,1.971048916,3.82459882,31.11066667,161.8533333,23.00775332,141.1958243,4.6666,24.12208792,-1.570466667,0.366602397,0.08324271,-1.154465005,-0.228362978,0.36205155,-5.021170582,-0.993230166,-4.34934845,0.16821944,-4.099875594,-0.912832516,-0.943658419,-0.089978757,0,0,38.36562041,-16.15734799,0,29.28595155,0,0,1,1
