,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Ced_prime,Cedstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCed,delta_UCedstar,leak,leakstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,region_scenario,conv
180,Unilateral,US as Home,3,0.995966292,2.031380609,0.038026536,3,0.028053041,0.740153431,0.0098255,0.779119433,28.69102947,29.4701489,0.354799115,3.631247392,1.140933006,0.2501243,0.400548744,0.07879622,0.171328079,23.69249689,8.084,1.590289959,2.950188253,4.540478212,31.11066667,161.8533333,23.86354047,140.5873269,4.6666,24.00610875,-1.563364499,-0.232401181,-0.055909264,-1.093274712,-0.07700355,-0.23287053,-4.553654368,-0.320731421,-4.165151098,0.234268722,-5.169130408,-0.277205297,-1.189766205,0.014617811,0,0,23.26619238,-16.89833841,0.779119433,28.69102947,0,0,1,1
186,Unilateral,US as Home,3.1,0.9997935,2.107139636,0.037925622,3.1,0.028543501,0.740153431,0.009697248,0.392297239,28.91195566,29.3042529,0.345710689,3.617346982,1.111707215,0.249306455,0.39028841,0.075775618,0.173530838,23.5898922,8.084,1.569531856,3.050328875,4.619860731,31.11066667,161.8533333,23.96194478,140.5198517,4.6666,23.99394567,-1.569560048,-0.011943103,-0.00275784,-1.077457548,-0.10114283,-0.011944336,-4.666519387,-0.43805436,-4.331047098,0.240200233,-5.29022629,-0.375560466,-1.21763855,0.000746905,0,0,24.63037628,-18.52603096,0.392297239,28.91195566,0,0,1,1
192,Unilateral,US as Home,3.2,1.003708081,2.183538685,0.037835044,3.187246766,0.029043085,0.740153431,0.0095735,0,29.13880205,29.13880205,0.336999322,3.603238897,1.083693937,0.248611193,0.380453755,0.072923578,0.175687615,23.4858047,8.084,1.549502921,3.151217273,4.700720194,31.11066667,161.8533333,24.06284959,140.4511212,4.6666,23.98165649,-1.570466667,0.215300732,0.047793205,-1.063147721,-0.123861997,0.214902049,-4.780441549,-0.556945214,-4.496497951,0.246034582,-5.409324213,-0.475488642,-1.24505103,-0.013385844,0,0,26.05581866,-20.19453526,0,29.13880205,0,0,1,1
198,Unilateral,US as Home,3.3,1.003134482,2.250836328,0.003918572,3.25397081,0.02955554,0.740153431,0.009453134,0,29.10550706,29.10550706,0.330089011,3.605299254,1.061472345,0.249164035,0.372652393,0.07053019,0.178633845,23.48683155,8.084,1.530021181,3.253641503,4.783662683,31.11066667,161.8533333,24.16704411,140.3806201,4.6666,23.96914754,-1.570466667,0.181891834,0.040091692,-1.056828894,-0.122148003,0.181607063,-4.78721606,-0.553305163,-4.529792937,0.25181648,-5.506009485,-0.466527491,-1.267304845,-0.011318438,0,0,27.5065372,-20.54231,0,29.10550706,0,0,1,1
204,Unilateral,US as Home,3.4,1.002576827,2.318117132,0.003945394,3.320693959,0.030077853,0.740153431,0.009336688,0,29.07315585,29.07315585,0.323456486,3.607304599,1.04014403,0.249838843,0.365164635,0.068261666,0.181577178,23.4872473,8.084,1.511174006,3.357026796,4.868200802,31.11066667,161.8533333,24.27395058,140.3087627,4.6666,23.95649105,-1.570466667,0.149448234,0.032716162,-1.050884826,-0.120603216,0.149255848,-4.794288066,-0.550209259,-4.562144152,0.257512414,-5.600730988,-0.457783784,-1.289106663,-0.009307367,0,0,28.96777047,-20.89066003,0,29.07315585,0,0,1,1
210,Unilateral,US as Home,3.5,1.002033995,2.385382293,0.003969315,3.387416287,0.030610009,0.740153431,0.009223957,0,29.04168178,29.04168178,0.317085326,3.609258787,1.019656193,0.250629727,0.357971945,0.066109157,0.18452057,23.48707761,8.084,1.492928248,3.461403757,4.954332005,31.11066667,161.8533333,24.38359426,140.2355511,4.6666,23.94368532,-1.570466667,0.117901605,0.025640307,-1.045287226,-0.119216237,0.117781781,-4.801650447,-0.547633878,-4.593618219,0.263124332,-5.69356688,-0.449239374,-1.310474475,-0.007348674,0,0,30.4392514,-21.23969184,0,29.04168178,0,0,1,1
216,Unilateral,US as Home,3.6,1.001504923,2.452632746,0.003941558,3.454137669,0.031151998,0.740153431,0.009114753,0,29.01102201,29.01102201,0.31096039,3.611165473,0.999960139,0.251531323,0.351057228,0.064064605,0.187466718,23.48634664,8.084,1.475253105,3.566801637,5.042054742,31.11066667,161.8533333,24.49600166,140.1609868,4.6666,23.9307286,-1.570466667,0.087187582,0.018840132,-1.040010169,-0.117976594,0.08712201,-4.809296134,-0.545556566,-4.62427799,0.268654124,-5.784590622,-0.440876944,-1.331425189,-0.005438614,0,0,31.92075608,-21.58951081,0,29.01102201,0,0,1,1
222,Unilateral,US as Home,3.7,1.000988742,2.519869528,0.003957263,3.52085827,0.031703816,0.740153431,0.009008897,0,28.98112483,28.98112483,0.305067656,3.613027648,0.981010783,0.252538704,0.344404654,0.062120645,0.190418059,23.48507408,8.084,1.45811994,3.673248317,5.131368256,31.11066667,161.8533333,24.61120035,140.0850703,4.6666,23.91761909,-1.570466667,0.057253121,0.012295374,-1.03503222,-0.116875611,0.057224826,-4.817221263,-0.543959566,-4.654175174,0.274103617,-5.873871853,-0.432683161,-1.351974833,-0.003574118,0,0,33.41197143,-21.94025978,0,28.98112483,0,0,1,1
228,Unilateral,US as Home,3.8,1.000484555,2.587093631,0.000112196,3.587578185,0.032265463,0.740153431,0.008906224,0,28.95193721,28.95193721,0.299394167,3.614848409,0.96276646,0.253647389,0.337999597,0.060270548,0.193376841,23.48328016,8.084,1.441502042,3.780770688,5.22227273,31.11066667,161.8533333,24.72921917,140.0078015,4.6666,23.90435494,-1.570466667,0.028044,0.005986555,-1.030332361,-0.11590476,0.028037207,-4.825420243,-0.542824042,-4.683362793,0.27947459,-5.961475987,-0.424643533,-1.372138464,-0.001752016,0,0,34.91268996,-22.29205851,0,28.95193721,0,0,1,1
234,Unilateral,US as Home,3.9,0.999991562,2.654305866,0.000113466,3.654297428,0.032836945,0.740153431,0.008806581,0,28.92341185,28.92341185,0.293927909,3.616630519,0.945188526,0.254853265,0.331828491,0.058508148,0.196345117,23.48098279,8.084,1.425374498,3.889394539,5.314769037,31.11066667,161.8533333,24.85008791,139.9291797,4.6666,23.89093428,-1.570466667,-0.000488144,-0.000103599,-1.025892078,-0.115056515,-0.000488146,-4.833888721,-0.542133428,-4.711888146,0.28476877,-6.047464918,-0.416745409,-1.391930328,3.05E-05,0,0,36.42268746,-22.64503991,0,28.92341185,0,0,1,1
