,tax_sce,regionbase,pe,tb,region,varphi,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,CeHH_prime,CeFH_prime,CeHF_prime,CeFF_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,VgFH_prime,VgHF_prime,VgFH1_prime,VgFH2_prime,CeFH1_prime,CeFH2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality
259,Unilateral,US as Home,1.022361826,1.317359722,1,3.7,0.019569624,0.793578719,0.00974853,0,28.10501179,28.10501179,1.965363358,0.233141092,0.51121938,25.39535598,2.19850445,2.476582739,25.90657536,25.62849707,3.454883398,7.300613513,1.7210363,1.733847098,0.110335969,0.122805122,38.63009333,176.5431669,29.14870001,153.9030033,5.794514,26.34694923,-1.493348267,0.312515062,0.074099115,-0.323523541,-0.20450285,0.309065793,-1.34940964,-0.852976929,-4.170978207,-3.765519898,0.161975,27.62586129,-12.32387436
266,Unilateral,US as Home,1.021334725,1.351771429,1,3.8,0.019732421,0.793578719,0.009661038,0,28.0908906,28.0908906,1.937714834,0.232313295,0.5040276,25.41667366,2.17002813,2.441742435,25.92070126,25.64898696,3.483624099,7.292743224,1.70559019,1.778033909,0.107807452,0.124505843,38.63009333,176.5431669,29.18167363,153.8785737,5.794514,26.34193208,-1.493348267,0.298085346,0.070474933,-0.319056637,-0.198916911,0.2949446,-1.335283739,-0.832487044,-4.1850994,-3.859353128,0.165644671,28.70602142,-12.46234544
273,Unilateral,US as Home,1.020324108,1.386157264,1,3.9,0.019897813,0.793578719,0.009575558,0,28.0769891,28.0769891,1.910840887,0.231556743,0.497037298,25.43755597,2.14239763,2.407878186,25.93459327,25.66911271,3.512822868,7.285101471,1.690499319,1.822323549,0.105371644,0.126185099,38.63009333,176.5431669,29.21529326,153.8537547,5.794514,26.3368762,-1.493348267,0.283894284,0.066930945,-0.314691938,-0.193465376,0.281043098,-1.321391733,-0.812361289,-4.199000902,-3.953159968,0.169284738,29.7922147,-12.59987642
280,Unilateral,US as Home,1.019347576,1.420515672,1,4,0.020065646,0.793578719,0.00949208,0,28.06354991,28.06354991,1.884697023,0.23086501,0.490236902,25.45756497,2.115562033,2.374933925,25.94780187,25.68842998,3.542452619,7.277684131,1.675761863,1.866690756,0.103023921,0.127841088,38.63009333,176.5431669,29.24953163,153.8285694,5.794514,26.33178592,-1.493348267,0.270188523,0.063527055,-0.31055234,-0.188262385,0.267603914,-1.308183126,-0.793044019,-4.212440086,-4.046985522,0.172892763,30.8797597,-12.73846579
287,Unilateral,US as Home,1.018384548,1.454839687,1,4.1,0.020235984,0.793578719,0.009410486,0,28.05029027,28.05029027,1.8592746,0.230239259,0.483624163,25.47720934,2.089513859,2.342898763,25.9608335,25.7074486,3.57252478,7.270477708,1.661357037,1.911167743,0.100760599,0.12947866,38.63009333,176.5431669,29.28440579,153.8030081,5.794514,26.32665894,-1.493348267,0.256678725,0.060189859,-0.306493973,-0.183170942,0.254344272,-1.295151498,-0.774025402,-4.225699728,-4.140752366,0.17647105,31.9734842,-12.87592797
294,Unilateral,US as Home,1.017453549,1.489149384,1,4.2,0.020408768,0.793578719,0.009330727,0,28.03746567,28.03746567,1.834515926,0.22967269,0.477184074,25.49602463,2.064188615,2.3117,25.9732087,25.72569732,3.6030285,7.263474963,1.647276057,1.955752443,0.098576207,0.131096483,38.63009333,176.5431669,29.31990701,153.7770799,5.794514,26.32149675,-1.493348267,0.243624323,0.056982019,-0.302646912,-0.178311276,0.241519674,-1.282776298,-0.755776683,-4.238524326,-4.234568989,0.180019129,33.06823024,-13.0145036
301,Unilateral,US as Home,1.016538757,1.523435468,1,4.3,0.02058403,0.793578719,0.009252712,0,28.0248586,28.0248586,1.810413253,0.229166005,0.470914621,25.51440303,2.039579258,2.281327874,25.98531765,25.74356904,3.633969838,7.256665297,1.633502999,2.00046684,0.096467691,0.132698314,38.63009333,176.5431669,29.35604623,153.7507798,5.794514,26.31629798,-1.493348267,0.230802981,0.053847454,-0.298900982,-0.173578489,0.228912604,-1.270667348,-0.737904964,-4.251131396,-4.328364797,0.18353847,34.16777289,-13.15250095
308,Unilateral,US as Home,1.015649885,1.557700728,1,4.4,0.020761685,0.793578719,0.009176408,0,28.01260331,28.01260331,1.786932171,0.228714806,0.464806853,25.53210054,2.015646977,2.251739024,25.99690739,25.76081535,3.66533361,7.25004336,1.620032176,2.045301434,0.094431293,0.134283513,38.63009333,176.5431669,29.39280952,153.7241206,5.794514,26.31106485,-1.493348267,0.218350447,0.050818123,-0.295323342,-0.169034316,0.21665731,-1.259077606,-0.720658653,-4.26338669,-4.422174929,0.187028076,35.26925905,-13.2910751
315,Unilateral,US as Home,1.014778275,1.591944192,1,4.5,0.020941765,0.793578719,0.009101736,0,28.0005808,28.0005808,1.76405546,0.228318514,0.45885629,25.54933118,1.992373974,2.22291175,26.00818747,25.77764969,3.697125493,7.243599728,1.606849313,2.09027618,0.092463774,0.13585474,38.63009333,176.5431669,29.43020734,153.6970975,5.794514,26.30579604,-1.493348267,0.206145022,0.047863207,-0.291854528,-0.164621508,0.204634796,-1.247797535,-0.703824311,-4.275409204,-4.515972313,0.19048928,36.3746631,-13.42936467
322,Unilateral,US as Home,1.013926584,1.626162336,1,4.6,0.021124205,0.793578719,0.009028658,0,27.98882806,27.98882806,1.741760652,0.227974479,0.453057089,25.56602749,1.969735131,2.194817741,26.01908458,25.79400197,3.72933412,7.237328959,1.59394794,2.13538618,0.090562174,0.137412305,38.63009333,176.5431669,29.46823007,153.6697202,5.794514,26.30049309,-1.493348267,0.194223605,0.044990617,-0.288512643,-0.160355975,0.192882059,-1.236900421,-0.687472031,-4.287161941,-4.60975452,0.193921508,37.4830208,-13.56771257
