regionbase,tax_sce,region_scenario,tb,prop,te,varphi,pe,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,CeHH_prime,CeFH_prime,CeHF_prime,CeFF_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,VgFH_prime,VgHF_prime,VgFH1_prime,VgFH2_prime,CeFH1_prime,CeFH2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality,prop2,-175.3079902
OECD37 as Home,puretp,3,0.585950144,-57.62936206,0.585950144,2,0.906022569,0.03697097,0.770948542,0.03697097,8.210196204,22.5117828,30.721979,7.121175799,0.458299629,3.48402482,19.65847875,7.579475429,10.60520062,23.14250357,20.11677838,4.558470278,21.04403412,4.558470278,0,0.458299629,0,91.87470067,123.2986398,64.0807663,118.8165731,13.7812051,18.49479597,-0.39562398,-1.084773237,-0.73275681,1.976001355,1.043732576,-1.138720202,3.070749573,1.621983383,-1.554021998,-2.986533379,0.088430614,2.076214839,-1.306701237,,
World as Home,puretp,4,1.760795955,-175.3079902,1.760795955,2,0.263623293,0.112006444,0.99683911,0.112006444,16.52052824,0.051344259,16.5718725,15.84370196,0.005532769,0.385795936,0.336841839,15.84923473,16.2294979,0.722637775,0.342374608,0.074670962,0.678031966,0.074670962,0,0.005532769,0,214.5066667,0.66666666,181.8178098,1.079523515,32.176,0.099999999,-9.273600983,-0.028821486,-0.003098277,0.039648031,0.015433815,-0.048655741,0.622637775,0.242374608,-15.7041285,-0.204883843,0.500470021,8.49900051,-6.143088921,,
China as Home,puretp,5,0.583310066,-57.36303782,0.583310066,2,0.930073655,0.060699956,0.89660869,0.060699956,7.254959059,23.87211123,31.12707029,4.726551797,0.97456488,0.886864422,24.53908919,5.701116677,5.613416219,25.42595361,25.51365407,9.832604161,5.498994899,9.832604161,0,0.97456488,0,53.18623853,161.9870067,48.89187063,134.0053878,7.97793578,24.298051,-0.25836597,-0.850141418,-0.766924583,2.115736713,1.058039181,-0.88113477,2.430811612,1.21560207,-1.148919711,-6.623957416,0.085985726,2.612613531,-1.707750787,,
OECD and China as Home,puretp,6,0.755964576,-74.50700445,0.755964576,2,0.78102189,0.091552712,0.889957868,0.091552712,14.27108303,14.25297755,28.52406058,12.59914744,0.626451124,3.065755708,12.23270631,13.22559856,15.66490314,15.29846202,12.85915744,6.41897933,15.96281544,6.41897933,0,0.626451124,0,145.0609427,70.11238867,115.1895406,67.70779106,21.7591414,10.5168583,-1.667405588,-1.66529018,-0.499682894,1.201393817,0.624290148,-1.874780448,4.507558022,2.342299438,-3.751940419,-4.947132083,0.126780618,3.208496159,-1.96442026,,
US and EU as Home,puretp,7,0.547526061,-53.77682486,0.547526061,2,0.939576621,0.025470542,0.742986172,0.025470542,5.249654909,26.03602501,31.28567992,4.875614358,0.385668573,2.669401258,23.35499573,5.261282931,7.545015617,26.02439699,23.7406643,3.823525131,16.72071342,3.823525131,0,0.385668573,0,65.05764133,150.1155782,44.33638509,138.5608515,9.7586462,22.51733673,-0.161124127,-0.799106203,-0.832201282,2.248475524,1.23530323,-0.824133991,2.226678987,1.223328302,-0.990306082,-2.433521905,0.080384129,1.858120722,-1.186275238,,
US as Home,EC_hybrid,1,0.721912289,-71.05997887,2,2,1.050210211,0.015920602,0.793578719,0.011681425,0,28.48521997,28.48521997,2.594856169,0.401444421,0.674959547,24.81395984,2.996300589,3.269815716,25.48891938,25.21540426,2.810673533,7.486811742,2.062275682,0.748397852,0.174559802,0.066031015,38.63009333,176.5431669,28.4466895,154.4505817,5.794514,26.48147503,-1.493348267,0.706507628,0.181829541,-0.466149517,-0.333987484,0.689273974,-1.767065616,-1.266069742,-3.790770026,-2.170184275,0.093471833,9.72182451,-9.904171161,,
EU28 as Home,EC_hybrid,2,0.702032898,-69.06578979,2,2,0.984751955,0.017931574,0.744319382,0.013047675,0,31.10034574,31.10034574,1.749233813,0.515536941,0.600878054,28.23469694,2.264770754,2.350111867,28.83557499,28.75023388,3.384506733,6.335177172,2.462692024,0.921814709,0.218998767,0.085553015,26.427554,188.7456601,19.59679029,163.3004417,3.9641331,28.31184901,-0.31192706,-0.238025245,-0.204021813,0.015184058,0.372891175,-0.239856256,0.01785099,0.438385877,-1.175640256,-2.324427958,0.09660499,4.781782888,-4.115296922,,
OECD37 as Home,EC_hybrid,3,0.830388885,-81.92638855,2,2,1.072307891,0.049234334,0.819497854,0.035408534,0,24.49063991,24.49063991,5.935611042,0.849176787,1.307374422,16.39847766,6.78478783,7.242985465,17.70585208,17.24765444,6.070526467,15.49795148,4.365824101,1.704702366,0.344181807,0.140657062,91.87470067,123.2986398,69.1573995,113.7399399,13.7812051,18.49479597,-2.875165,0.870334481,0.107912388,-0.303891097,-0.160190458,0.840136909,-2.365901921,-1.247140556,-7.785361091,-5.479844676,0.104070388,8.075459624,-8.872320539,,
World as Home,EC_hybrid,4,0.870408045,-86.09861825,2,2,1.334199028,0.299999993,0.999067628,0.240739629,14.55433483,0.115507533,14.66984236,14.58128316,0.0224854,0.013607867,0.052465935,14.60376856,14.59489103,0.066073802,0.074951335,0.199999993,0.188155597,0.160493084,0.039506909,0.010919843,0.002794293,214.5066667,0.66666666,182.3306667,0.566666661,32.176,0.099999999,-9.732693047,0.01803668,0.000880802,-0.001926951,-0.001422722,0.015507533,-0.033926198,-0.025048665,-17.60615864,-0.240921407,0.089134866,9.0726421,-7.342846946,,
China as Home,EC_hybrid,5,0.748557953,-73.73392029,2,2,1.113070581,0.079651738,0.920722353,0.05976634,0,26.11520926,26.11520926,3.945719388,1.738777426,0.339741236,20.09097121,5.684496813,4.285460624,20.43071244,21.82974863,12.90254667,3.962163862,9.681370557,3.221176109,0.780072693,0.270280011,53.18623853,161.9870067,52.59145953,130.3057989,7.97793578,24.298051,-2.5075814,1.438275049,0.221069912,-0.416250742,-0.400647819,1.361963257,-2.564429557,-2.468303367,-6.160780743,-11.11720237,0.091633657,10.961675,-12.20514601,,
